date,price
2020-02-23,8921.95
2020-02-24,9190.36
2020-02-25,8916.08
2020-02-26,8561.0
2020-02-27,8077.1
2020-02-28,8028.63
2020-02-29,7887.39
2020-03-01,7755.0
2020-03-02,7724.02
2020-03-03,8024.72
2020-03-04,7845.98
2020-03-05,7880.09
2020-03-06,8105.06
2020-03-07,8119.98
2020-03-08,7894.33
2020-03-09,7078.28
2020-03-10,6933.24
2020-03-11,6971.61
2020-03-12,7069.7
2020-03-13,4424.91
2020-03-14,5148.95
2020-03-15,4707.26
2020-03-16,4826.97
2020-03-17,4527.95
2020-03-18,4880.0
2020-03-19,4950.69
2020-03-20,5831.1
2020-03-21,5821.54
2020-03-22,5819.74
2020-03-23,5469.44
2020-03-24,6046.47
2020-03-25,6280.07
2020-03-26,6165.65
2020-03-27,6136.83
2020-03-28,5749.0
2020-03-29,5632.57
2020-03-30,5284.0
2020-03-31,5805.92
2020-04-01,5840.99
2020-04-02,6074.65
2020-04-03,6233.82
2020-04-04,6246.7
2020-04-05,6368.28
2020-04-06,6287.35
2020-04-07,6799.01
2020-04-08,6610.21
2020-04-09,6792.35
2020-04-10,6686.65
2020-04-11,6298.0
2020-04-12,6310.43
2020-04-13,6326.79
2020-04-14,6289.9
2020-04-15,6275.42
2020-04-16,6081.42
2020-04-17,6543.49
2020-04-18,6484.42
2020-04-19,6674.22
2020-04-20,6567.52
2020-04-21,6307.0
2020-04-22,6327.35
2020-04-23,6589.99
2020-04-24,6907.38
2020-04-25,6948.41
2020-04-26,6994.55
2020-04-27,7124.99
2020-04-28,7207.17
2020-04-29,7180.0
2020-04-30,8073.94
2020-05-01,7903.39
2020-05-02,8042.82
2020-05-03,8178.48
2020-05-04,8142.11
2020-05-05,8147.24
2020-05-06,8338.31
2020-05-07,8497.06
2020-05-08,9213.24
2020-05-09,9065.02
2020-05-10,8815.83
2020-05-11,8077.77
2020-05-12,7941.68
2020-05-13,8147.86
2020-05-14,8616.14
2020-05-15,9043.8
2020-05-16,8601.95
2020-05-17,8687.37
2020-05-18,8930.59
2020-05-19,8914.37
2020-05-20,8952.02
2020-05-21,8683.94
2020-05-22,8281.31
2020-05-23,8418.58
2020-05-24,8424.39
2020-05-25,7999.18
2020-05-26,8165.68
2020-05-27,8069.49
2020-05-28,8355.56
2020-05-29,8627.165
2020-05-30,8501.56
2020-05-31,8699.63
2020-06-01,8505.35
2020-06-02,9046.72
2020-06-03,8522.39
2020-06-04,8601.0
2020-06-05,8647.47
2020-06-06,8542.49
2020-06-07,8578.67
2020-06-08,8622.56
2020-06-09,8658.13
2020-06-10,8629.48
2020-06-11,8708.0
2020-06-12,8216.2
2020-06-13,8413.07
2020-06-14,8412.82
2020-06-15,8296.99
2020-06-16,8323.09
2020-06-17,8462.52
2020-06-18,8425.67
2020-06-19,8372.15
2020-06-20,8331.45
2020-06-21,8369.18
2020-06-22,8310.7
2020-06-23,8574.92
2020-06-24,8513.4
2020-06-25,8266.67
2020-06-26,8246.71
2020-06-27,8178.05
2020-06-28,8053.8
2020-06-29,8138.9
2020-06-30,8165.07
2020-07-01,8138.84
2020-07-02,8217.76
2020-07-03,8107.77
2020-07-04,8063.92
2020-07-05,8123.37
2020-07-06,8073.41
2020-07-07,8245.95
2020-07-08,8220.67
2020-07-09,8325.26
2020-07-10,8191.9
2020-07-11,8232.6
2020-07-12,8196.66
2020-07-13,8242.19
2020-07-14,8161.39
2020-07-15,8124.91
2020-07-16,8046.96
2020-07-17,8025.17
2020-07-18,8025.44
2020-07-19,8041.31
2020-07-20,8070.74
2020-07-21,8016.9
2020-07-22,8150.66
2020-07-23,8238.04
2020-07-24,8299.99
2020-07-25,8214.27
2020-07-26,8344.21
2020-07-27,8510.0
2020-07-28,9216.48
2020-07-29,9333.1
2020-07-30,9440.0
2020-07-31,9381.07
2020-08-01,9644.27
2020-08-02,10030.98
2020-08-03,9395.41
2020-08-04,9562.46
2020-08-05,9499.83
2020-08-06,9903.12
2020-08-07,9928.59
2020-08-08,9857.77
2020-08-09,9982.49
2020-08-10,9933.56
2020-08-11,10138.48
2020-08-12,9725.26
2020-08-13,9831.6
2020-08-14,9969.0
2020-08-15,9956.24
2020-08-16,10015.01
2020-08-17,10058.99
2020-08-18,10357.0
2020-08-19,10025.68
2020-08-20,9949.73
2020-08-21,10004.42
2020-08-22,9798.86
2020-08-23,9910.25
2020-08-24,9890.48
2020-08-25,9984.11
2020-08-26,9594.51
2020-08-27,9686.86
2020-08-28,9600.0
2020-08-29,9709.01
2020-08-30,9662.88
2020-08-31,9835.27
2020-09-01,9773.12
2020-09-02,9995.33
2020-09-03,9646.33
2020-09-04,8630.0
2020-09-05,8863.34
2020-09-06,8604.25
2020-09-07,8676.9
2020-09-08,8803.32
2020-09-09,8616.24
2020-09-10,8674.03
2020-09-11,8767.32
2020-09-12,8785.77
2020-09-13,8824.23
2020-09-14,8748.0
2020-09-15,9014.38
2020-09-16,9121.11
2020-09-17,9291.27
2020-09-18,9242.76
2020-09-19,9252.45
2020-09-20,9371.21
2020-09-21,9233.32
2020-09-22,8866.61
2020-09-23,8999.99
2020-09-24,8792.99
2020-09-25,9201.58
2020-09-26,9195.93
2020-09-27,9225.93
2020-09-28,9262.77
2020-09-29,9159.92
2020-09-30,9241.69
2020-10-01,9198.1
2020-10-02,9049.2
2020-10-03,9028.54
2020-10-04,9020.88
2020-10-05,9105.1
2020-10-06,9159.35
2020-10-07,9044.03
2020-10-08,9067.65
2020-10-09,9278.99
2020-10-10,9336.29
2020-10-11,9515.0
2020-10-12,9600.0
2020-10-13,9750.19
2020-10-14,9738.0
2020-10-15,9730.41
2020-10-16,9831.54
2020-10-17,9672.41
2020-10-18,9706.33
2020-10-19,9825.0
2020-10-20,9991.11
2020-10-21,10080.32
2020-10-22,10740.0
2020-10-23,10966.08
2020-10-24,10891.89
2020-10-25,11059.5
2020-10-26,11001.91
2020-10-27,11071.38
2020-10-28,11627.69
2020-10-29,11319.1
2020-10-30,11530.0
2020-10-31,11647.39
2020-11-01,11849.18
2020-11-02,11833.96
2020-11-03,11658.15
2020-11-04,11940.96
2020-11-05,12065.96
2020-11-06,13193.03
2020-11-07,13127.84
2020-11-08,12402.78
2020-11-09,12966.19
2020-11-10,12967.67
2020-11-11,12957.33
2020-11-12,13317.11
2020-11-13,13821.85
2020-11-14,13796.86
2020-11-15,13602.6
2020-11-16,13485.41
2020-11-17,14102.59
2020-11-18,14887.12
2020-11-19,15012.85
2020-11-20,15032.93
2020-11-21,15735.55
2020-11-22,15752.56
2020-11-23,15530.0
2020-11-24,15514.66
2020-11-25,16112.47
2020-11-26,15709.52
2020-11-27,14405.08
2020-11-28,14328.37
2020-11-29,14838.57
2020-11-30,15201.98
2020-12-01,16416.0
2020-12-02,15568.38
2020-12-03,15875.15
2020-12-04,16004.34
2020-12-05,15410.0
2020-12-06,15826.27
2020-12-07,15981.57
2020-12-08,15838.02
2020-12-09,15131.18
2020-12-10,15355.01
2020-12-11,15021.96
2020-12-12,14885.89
2020-12-13,15540.01
2020-12-14,15777.83
2020-12-15,15860.02
2020-12-16,15992.0
2020-12-17,17492.74
2020-12-18,18567.36
2020-12-19,18852.21
2020-12-20,19395.84
2020-12-21,19193.69
2020-12-22,18584.83
2020-12-23,19550.8
2020-12-24,19070.0
2020-12-25,19460.84
2020-12-26,20226.87
2020-12-27,21675.59
2020-12-28,21406.39
2020-12-29,22127.92
2020-12-30,22346.87
2020-12-31,23496.89
2021-01-01,23717.76
2021-01-02,24070.97
2021-01-03,25907.35
2021-01-04,25644.41
2021-01-05,26115.94
2021-01-06,27654.01
2021-01-07,29838.52
2021-01-08,32120.19
2021-01-09,33229.63
2021-01-10,32611.56
2021-01-11,31009.16
2021-01-12,29000.96
2021-01-13,27898.56
2021-01-14,30739.03
2021-01-15,32167.38
2021-01-16,30479.62
2021-01-17,29823.09
2021-01-18,29636.74
2021-01-19,30266.54
2021-01-20,29583.54
2021-01-21,29285.82
2021-01-22,25366.65
2021-01-23,27110.02
2021-01-24,26374.71
2021-01-25,26515.88
2021-01-26,26612.47
2021-01-27,26718.94
2021-01-28,25175.35
2021-01-29,27522.22
2021-01-30,28210.28
2021-01-31,28260.46
2021-02-01,27327.32
2021-02-02,27770.44
2021-02-03,29463.01
2021-02-04,31283.15
2021-02-05,30911.33
2021-02-06,31812.77
2021-02-07,32600.0
2021-02-08,32280.71
2021-02-09,38516.19
2021-02-10,38349.93
2021-02-11,36994.19
2021-02-12,39524.52
2021-02-13,39155.41
2021-02-14,39101.98
2021-02-15,40209.85
2021-02-16,39542.88
2021-02-17,40659.65
2021-02-18,43329.48
2021-02-19,42694.99
2021-02-20,46154.17
2021-02-21,46338.69
2021-02-22,47474.59
2021-02-23,44540.45
2021-02-24,40184.48
2021-02-25,40927.6
2021-02-26,38789.61
2021-02-27,38463.95
2021-02-28,38343.92
2021-03-01,37406.18
2021-03-02,41218.93
2021-03-03,40187.98
2021-03-04,41864.53
2021-03-05,40478.83
2021-03-06,40937.27
2021-03-07,41054.08
2021-03-08,42673.33
2021-03-09,44173.0
2021-03-10,46123.73
